,n_times,n_locs,algorithm,t_rel (us)
95,10,100x100,sunwhere.nrel_numexpr,0.2413337299852476
96,10,100x100,sunwhere.psa_numexpr,0.1082825533376308
97,10,100x100,sunwhere.psa_numpy,0.4001374433452535
98,10,100x100,sunwhere.soltrack_numexpr,0.1337142066525605
99,10,100x100,sunwhere.soltrack_numpy,0.1905297599902648
100,10,10x10,pvlib.nrel_numba,97.99880366578388
101,10,10x10,pvlib.nrel_numpy,291.03802466367296
102,10,10x10,sg2.sg2_c++,0.6595873346668669
103,10,10x10,sunwhere.iqbal_numexpr,9.445449332512604
104,10,10x10,sunwhere.iqbal_numpy,14.146642999548932
105,10,10x10,sunwhere.nrel_numexpr,15.026901666715275
106,10,10x10,sunwhere.psa_numexpr,8.473215665920483
107,10,10x10,sunwhere.psa_numpy,11.623409666450849
108,10,10x10,sunwhere.soltrack_numexpr,8.167396668189516
109,10,10x10,sunwhere.soltrack_numpy,7.442094332266909
110,10,50x50,pvlib.nrel_numba,91.57911674672503
111,10,50x50,pvlib.nrel_numpy,270.1305517066309
112,10,50x50,sg2.sg2_c++,0.3044577332912013
113,10,50x50,sunwhere.iqbal_numexpr,0.4659271601121872
114,10,50x50,sunwhere.iqbal_numpy,0.5654664399723212
115,10,50x50,sunwhere.nrel_numexpr,0.7613303465768696
116,10,50x50,sunwhere.psa_numexpr,0.3799164533847943
117,10,50x50,sunwhere.psa_numpy,0.513846213289071
118,10,50x50,sunwhere.soltrack_numexpr,0.3963276401433783
119,10,50x50,sunwhere.soltrack_numpy,0.4514977333504552
120,100,1,pvlib.nrel_numba,42.86735665421778
121,100,1,pvlib.nrel_numpy,71.31687001674435
122,100,1,sg2.sg2_c++,4.068466684354159
123,100,1,sunwhere.iqbal_numexpr,96.54621668839052
124,100,1,sunwhere.iqbal_numpy,88.91909666999707
125,100,1,sunwhere.nrel_numexpr,123.36726331947526
126,100,1,sunwhere.psa_numexpr,90.17561334379327
127,100,1,sunwhere.psa_numpy,124.92585333044796
128,100,1,sunwhere.soltrack_numexpr,85.8178133542727
129,100,1,sunwhere.soltrack_numpy,88.46708664350444
130,100,10,pvlib.nrel_numba,20.725985334138382
131,100,10,pvlib.nrel_numpy,44.90793400085144
132,100,10,sg2.sg2_c++,0.7788669997050116
133,100,10,sunwhere.iqbal_numexpr,11.026894334160412
134,100,10,sunwhere.iqbal_numpy,9.153288665402217
135,100,10,sunwhere.nrel_numexpr,12.522558332420887
136,100,10,sunwhere.psa_numexpr,14.213002667626522
137,100,10,sunwhere.psa_numpy,8.858280667482177
138,100,10,sunwhere.soltrack_numexpr,9.092999331187457
139,100,10,sunwhere.soltrack_numpy,9.496050333837047
140,100,100,pvlib.nrel_numba,11.994106233032657
141,100,100,pvlib.nrel_numpy,33.56272743379425
142,100,100,sg2.sg2_c++,0.338092566623042
143,100,100,sunwhere.iqbal_numexpr,1.2259902667816884
144,100,100,sunwhere.iqbal_numpy,1.0471147999245054
145,100,100,sunwhere.nrel_numexpr,1.6035835336272912
146,100,100,sunwhere.psa_numexpr,1.2825734333697862
147,100,100,sunwhere.psa_numpy,1.1966522998894409
148,100,100,sunwhere.soltrack_numexpr,1.2102694333104107
149,100,100,sunwhere.soltrack_numpy,1.2059961334064913
150,100,100x100,pvlib.nrel_numba,9.06575069400181
151,100,100x100,pvlib.nrel_numpy,32.26663121666692
152,100,100x100,sg2.sg2_c++,0.1354357750024064
153,100,100x100,sunwhere.iqbal_numexpr,0.0518301506672287
154,100,100x100,sunwhere.iqbal_numpy,0.0801976120007263
155,100,100x100,sunwhere.nrel_numexpr,0.0945117576654108
156,100,100x100,sunwhere.psa_numexpr,0.0567315213338588
157,100,100x100,sunwhere.psa_numpy,0.1045186433329945
158,100,100x100,sunwhere.soltrack_numexpr,0.0719667200003944
159,100,100x100,sunwhere.soltrack_numpy,0.0840926083340794
